"time","metric","scenario","group","load_zone","tags","count","min","mean","max","last"
"2024-02-29T14:05:15+00:00","vus","","","amazon:us:columbus","{}",3,32.0,32.0,32.0,32.0
"2024-02-29T14:05:18+00:00","vus","","","amazon:us:columbus","{}",3,33.0,32.3333333333333,32.0,33.0
"2024-02-29T14:05:21+00:00","vus","","","amazon:us:columbus","{}",3,33.0,33.0,33.0,33.0
"2024-02-29T14:05:24+00:00","vus","","","amazon:us:columbus","{}",3,34.0,33.3333333333333,33.0,34.0
"2024-02-29T14:05:27+00:00","vus","","","amazon:us:columbus","{}",3,34.0,34.0,34.0,34.0
"2024-02-29T14:05:30+00:00","vus","","","amazon:us:columbus","{}",3,35.0,34.3333333333333,34.0,35.0
"2024-02-29T14:05:33+00:00","vus","","","amazon:us:columbus","{}",3,35.0,35.0,35.0,35.0
"2024-02-29T14:05:36+00:00","vus","","","amazon:us:columbus","{}",3,36.0,35.3333333333333,35.0,36.0
"2024-02-29T14:05:39+00:00","vus","","","amazon:us:columbus","{}",3,36.0,36.0,36.0,36.0
"2024-02-29T14:05:42+00:00","vus","","","amazon:us:columbus","{}",3,37.0,36.3333333333333,36.0,37.0
"2024-02-29T14:05:45+00:00","vus","","","amazon:us:columbus","{}",3,37.0,37.0,37.0,37.0
"2024-02-29T14:05:48+00:00","vus","","","amazon:us:columbus","{}",3,38.0,37.3333333333333,37.0,38.0
"2024-02-29T14:05:51+00:00","vus","","","amazon:us:columbus","{}",3,38.0,38.0,38.0,38.0
"2024-02-29T14:05:54+00:00","vus","","","amazon:us:columbus","{}",3,39.0,38.3333333333333,38.0,39.0
"2024-02-29T14:05:57+00:00","vus","","","amazon:us:columbus","{}",3,39.0,39.0,39.0,39.0
"2024-02-29T14:06:00+00:00","vus","","","amazon:us:columbus","{}",3,40.0,39.3333333333333,39.0,40.0
"2024-02-29T14:06:03+00:00","vus","","","amazon:us:columbus","{}",3,40.0,40.0,40.0,40.0
"2024-02-29T14:06:06+00:00","vus","","","amazon:us:columbus","{}",3,41.0,40.3333333333333,40.0,41.0
"2024-02-29T14:06:09+00:00","vus","","","amazon:us:columbus","{}",3,41.0,41.0,41.0,41.0
"2024-02-29T14:06:12+00:00","vus","","","amazon:us:columbus","{}",3,42.0,41.3333333333333,41.0,42.0
"2024-02-29T14:06:15+00:00","vus","","","amazon:us:columbus","{}",3,42.0,42.0,42.0,42.0
"2024-02-29T14:06:18+00:00","vus","","","amazon:us:columbus","{}",3,43.0,42.3333333333333,42.0,43.0
"2024-02-29T14:06:21+00:00","vus","","","amazon:us:columbus","{}",3,43.0,43.0,43.0,43.0
"2024-02-29T14:06:24+00:00","vus","","","amazon:us:columbus","{}",3,44.0,43.3333333333333,43.0,44.0
"2024-02-29T14:06:27+00:00","vus","","","amazon:us:columbus","{}",3,44.0,44.0,44.0,44.0
"2024-02-29T14:06:30+00:00","vus","","","amazon:us:columbus","{}",3,45.0,44.3333333333333,44.0,45.0
